date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:55:25	142458/142458	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2007:55:02%20GMT	http://myfreeinstagramfollowers.blogspot.com/2017/06/images/pinteresticon.png	C:/My%20Web%20Sites/blogger/myfreeinstagramfollowers.blogspot.com/2017/06/images/pinteresticon.f.delayed	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:26	142434/142434	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2007:55:03%20GMT	http://myfreeinstagramfollowers.blogspot.com/2017/06/images/vimeoicon.png	C:/My%20Web%20Sites/blogger/myfreeinstagramfollowers.blogspot.com/2017/06/images/vimeoicon.10.delayed	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:27	142446/142446	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2007:55:05%20GMT	http://myfreeinstagramfollowers.blogspot.com/2017/06/images/youtubeicon.png	C:/My%20Web%20Sites/blogger/myfreeinstagramfollowers.blogspot.com/2017/06/images/youtubeicon.11.delayed	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:29	142452/142452	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2007:55:06%20GMT	http://myfreeinstagramfollowers.blogspot.com/2017/06/images/linkedinicon.png	C:/My%20Web%20Sites/blogger/myfreeinstagramfollowers.blogspot.com/2017/06/images/linkedinicon.12.delayed	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:30	142458/142458	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2007:55:07%20GMT	http://myfreeinstagramfollowers.blogspot.com/2017/06/images/footerbullets.png	C:/My%20Web%20Sites/blogger/myfreeinstagramfollowers.blogspot.com/2017/06/images/footerbullets.13.delayed	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:32	142452/142452	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2007:55:09%20GMT	http://myfreeinstagramfollowers.blogspot.com/2017/06/images/preloader-01.gif	C:/My%20Web%20Sites/blogger/myfreeinstagramfollowers.blogspot.com/2017/06/images/preloader-01.14.delayed	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:33	7086/7086	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254499a48-1bae%22	http://code.jquery.com/jquery-migrate-1.1.1.min.js	C:/My%20Web%20Sites/blogger/code.jquery.com/jquery-migrate-1.1.1.min.js	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:34	142554/142554	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2007:55:11%20GMT	http://myfreeinstagramfollowers.blogspot.com/2017/06/statcounter.com/counter/counter_xhtml.js	C:/My%20Web%20Sites/blogger/myfreeinstagramfollowers.blogspot.com/2017/06/statcounter.com/counter/counter_xhtml.17.delayed	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:35	142356/142356	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2007:55:12%20GMT	http://myfreeinstagramfollowers.blogspot.com/2017/06/images/	C:/My%20Web%20Sites/blogger/myfreeinstagramfollowers.blogspot.com/2017/06/images/index.html	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:36	142721/142721	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2007:55:13%20GMT	http://myfreeinstagramfollowers.blogspot.com/2017/06/bravenet.com/counter/code.php	C:/My%20Web%20Sites/blogger/myfreeinstagramfollowers.blogspot.com/2017/06/bravenet.com/counter/code.18.delayed	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:37	1/1	---MC-	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202017%2007:55:14%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=1772740511072359061&zx=1fa5be2c-5f27-4bc1-99e2-576f8b115186	C:/My%20Web%20Sites/blogger/www.blogger.com/dyn-css/authorizationf19c.css	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:39	92629/92629	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254499a47-169d5%22	http://code.jquery.com/jquery-1.9.1.min.js	C:/My%20Web%20Sites/blogger/code.jquery.com/jquery-1.9.1.min.js	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:39	47/47	---MC-	200	added ('OK')	text/javascript	date:Wed,%2009%20Aug%202017%2016:20:52%20GMT	http://pagead2.googlesyndication.com/pagead/js/google_top_exp.js	C:/My%20Web%20Sites/blogger/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:39	43312/43312	---MC-	200	added ('OK')	application/javascript	date:Mon,%2014%20Aug%202017%2007:55:16%20GMT	https://apis.google.com/js/plusone.js	C:/My%20Web%20Sites/blogger/apis.google.com/js/plusone.js	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:39	5729/5729	---M--	200	added ('OK')	image/jpeg	etag:%22v11cc%22	https://4.bp.blogspot.com/-YU3br1-Ziuc/WMKmsAvUsnI/AAAAAAAAEcU/kwc5y88erbYTuA6vPdFth0qgXnx4d_jUQCLcB/s1600/person-1.jpg	C:/My%20Web%20Sites/blogger/4.bp.blogspot.com/-YU3br1-Ziuc/WMKmsAvUsnI/AAAAAAAAEcU/kwc5y88erbYTuA6vPdFth0qgXnx4d_jUQCLcB/s1600/person-1.jpg	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:42	582764/582764	---M--	200	added ('OK')	image/jpeg	etag:%22v11db%22	https://2.bp.blogspot.com/-DaTwxlrDZlg/WNulJZLsGsI/AAAAAAAAEdo/lrfvm7G-H3E-c5u2aMrPN6mIvyazBkxXQCLcB/s1980/page.jpeg	C:/My%20Web%20Sites/blogger/2.bp.blogspot.com/-DaTwxlrDZlg/WNulJZLsGsI/AAAAAAAAEdo/lrfvm7G-H3E-c5u2aMrPN6mIvyazBkxXQCLcB/s1980/page.jpeg	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:42	100023/100023	---M--	200	added ('OK')	image/png	etag:%22v11cc%22	https://2.bp.blogspot.com/-v5r9jhdm2Mk/WMKm1AF9ecI/AAAAAAAAEck/RsFX_9SQsMMYPUI3gUZXOD4klML650vdwCLcB/s1600/will.png	C:/My%20Web%20Sites/blogger/2.bp.blogspot.com/-v5r9jhdm2Mk/WMKm1AF9ecI/AAAAAAAAEck/RsFX_9SQsMMYPUI3gUZXOD4klML650vdwCLcB/s1600/will.png	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:42	6685/6685	---M--	200	added ('OK')	image/jpeg	etag:%22v11cc%22	https://2.bp.blogspot.com/-cj77Iz8AWP4/WMKmyKyRRFI/AAAAAAAAEcY/AH4zq965xLAWhvIEMkgXPGEOemz3BHS-QCLcB/s1600/person-2.jpg	C:/My%20Web%20Sites/blogger/2.bp.blogspot.com/-cj77Iz8AWP4/WMKmyKyRRFI/AAAAAAAAEcY/AH4zq965xLAWhvIEMkgXPGEOemz3BHS-QCLcB/s1600/person-2.jpg	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:43	72223/72223	---M--	200	added ('OK')	image/png	etag:%22v11d0%22	https://3.bp.blogspot.com/-4WSd-u4p6p4/WMKmrbiE_II/AAAAAAAAEcQ/TtxCWTggA0Icp48fBAUJk0aqKjXfM209QCLcB/s1600/lori.png	C:/My%20Web%20Sites/blogger/3.bp.blogspot.com/-4WSd-u4p6p4/WMKmrbiE_II/AAAAAAAAEcQ/TtxCWTggA0Icp48fBAUJk0aqKjXfM209QCLcB/s1600/lori.png	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:43	6413/6413	---M--	200	added ('OK')	image/jpeg	etag:%22v11cc%22	https://3.bp.blogspot.com/-xkamjcepz9E/WMKmzBfSuJI/AAAAAAAAEcg/jNeK0vDG-fkh9rA-8vQQTdRU20SToc4LgCLcB/s1600/person-4.jpg	C:/My%20Web%20Sites/blogger/3.bp.blogspot.com/-xkamjcepz9E/WMKmzBfSuJI/AAAAAAAAEcg/jNeK0vDG-fkh9rA-8vQQTdRU20SToc4LgCLcB/s1600/person-4.jpg	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:44	103610/103610	---M--	200	added ('OK')	image/png	etag:%22v11cc%22	https://3.bp.blogspot.com/-xWUmQDtx9kE/WMKmp-DsyBI/AAAAAAAAEcI/M0-tViuFhxYUMOGWCidY0tXig7zvEGEawCLcB/s1600/gio.png	C:/My%20Web%20Sites/blogger/3.bp.blogspot.com/-xWUmQDtx9kE/WMKmp-DsyBI/AAAAAAAAEcI/M0-tViuFhxYUMOGWCidY0tXig7zvEGEawCLcB/s1600/gio.png	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:45	1141/1141	---M--	200	added ('OK')	image/png	etag:%22v11cc%22	https://2.bp.blogspot.com/-8iPxGMgqQkY/WMKmouNQpuI/AAAAAAAAEcA/N1Vi0hFuHrkuhB1-QnaQPG6ZAqMluwqMwCLcB/s1600/Untitled-2.png	C:/My%20Web%20Sites/blogger/2.bp.blogspot.com/-8iPxGMgqQkY/WMKmouNQpuI/AAAAAAAAEcA/N1Vi0hFuHrkuhB1-QnaQPG6ZAqMluwqMwCLcB/s1600/Untitled-2.png	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:45	475/475	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Aug%202017%2019:38:02%20GMT	https://resources.blogblog.com/img/icon18_wrench_allbkg.png	C:/My%20Web%20Sites/blogger/resources.blogblog.com/img/icon18_wrench_allbkg.png	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:48	59261/59261	---MC-	200	added ('OK')	text/javascript	date:Mon,%2014%20Aug%202017%2007:04:25%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/blogger/pagead2.googlesyndication.com/pagead/js/f-2.txt	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:48	121759/121759	---MC-	200	added ('OK')	text/javascript	date:Mon,%2007%20Aug%202017%2023:56:11%20GMT	https://www.blogger.com/static/v1/widgets/2582377541-widgets.js	C:/My%20Web%20Sites/blogger/www.blogger.com/static/v1/widgets/2582377541-widgets.js	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
